Designator,Mid X,Mid Y,Rotation,Layer
C1,28.5,-60.75,270.0,top
C10,9.0,-31.5,180.0,top
C2,58.785,-39.2,0.0,top
C3,56.75,-50.5,180.0,top
C4,49.125,-36.1,0.0,top
C5,27.75,-39.25,0.0,top
C6,22.5,-47.75,90.0,top
C7,19.0,-47.75,90.0,top
C8,14.0,-32.25,270.0,top
C9,25.0,-5.75,90.0,top
D1,19.0,-55.63,180.0,top
D2,52.65,-45.5,90.0,top
D3,37.0,-40.75,180.0,top
D4,37.0,-48.25,180.0,top
J1,7.075,-55.0,270.0,top
J2,3.0,-40.25,270.0,top
L1,45.65,-45.5,90.0,top
Q1,19.0,-62.63,270.0,top
Q2,37.0,-34.25,0.0,top
Q3,40.5,-57.5375,270.0,top
Q4,55.5,-57.5375,270.0,top
Q5,70.45,-57.5375,270.0,top
Q6,74.5,-12.5,90.0,top
Q7,59.5,-12.5,90.0,top
Q8,44.5,-12.5,90.0,top
R1,19.0,-53.25,0.0,top
R10,12.25,-32.25,90.0,top
R11,37.0,-45.25,180.0,top
R12,71.75,-43.25,90.0,top
R13,71.75,-39.75,270.0,top
R14,36.5,-57.2875,90.0,top
R15,44.5,-57.5375,270.0,top
R16,48.0,-57.5375,270.0,top
R17,51.5,-57.5375,90.0,top
R18,59.5,-57.5375,270.0,top
R19,63.0,-57.5375,270.0,top
R2,10.25,-42.25,0.0,top
R20,66.5,-57.5375,90.0,top
R21,74.5,-57.5375,270.0,top
R22,78.0,-57.5375,270.0,top
R23,78.5,-12.5,270.0,top
R24,70.5,-12.5,90.0,top
R25,67.0,-12.5,90.0,top
R26,63.5,-12.5,270.0,top
R27,55.5,-12.5,90.0,top
R28,52.0,-12.5,90.0,top
R29,48.5,-12.5,270.0,top
R3,10.25,-38.25,0.0,top
R30,40.5,-12.5,90.0,top
R31,37.0,-12.5,90.0,top
R32,34.75,-26.5,270.0,top
R33,31.0,-26.5,270.0,top
R4,15.25,-41.0,180.0,top
R5,15.25,-39.5,180.0,top
R6,64.75,-47.5,90.0,top
R7,64.75,-43.5,90.0,top
R8,31.75,-35.5,90.0,top
R9,24.0,-32.25,270.0,top
SW1,19.0,-33.5,180.0,top
SW2,19.0,-5.75,0.0,top
U1,59.25,-45.5,90.0,top
U2,29.0,-45.0,270.0,top
